protein_A_id	protein_B_id	type	context	references
uniprotkb:Q13554	uniprotkb:Q9UQM7	physical association	reactome:R-HSA-9611355	24243840
uniprotkb:P0DP23	uniprotkb:Q13554	physical association	reactome:R-HSA-9617587	24243840
ChEBI:29108	uniprotkb:Q96RR4	physical association	reactome:R-HSA-9619230	24243840
ChEBI:29108	uniprotkb:Q8N5S9	physical association	reactome:R-HSA-9618860	24243840
ChEBI:29108	uniprotkb:P63098	physical association	reactome:R-HSA-2685704	24243840
uniprotkb:P16298	ChEBI:29105	physical association	reactome:R-HSA-2685714	24243840
ChEBI:29034	uniprotkb:P0DP23	physical association	reactome:R-HSA-2685716	24243840
ChEBI:29108	uniprotkb:Q08209	physical association	reactome:R-HSA-2685698	24243840
uniprotkb:Q12982	uniprotkb:Q4KMG0	physical association	reactome:R-HSA-376008	24243840
uniprotkb:Q4KMG0	ChEBI:37565	physical association	reactome:R-HSA-448875	24243840
uniprotkb:P26232	uniprotkb:O60271	physical association	reactome:R-HSA-376011	24243840
uniprotkb:P35222	uniprotkb:P55291	physical association	reactome:R-HSA-448876	24243840
uniprotkb:O60716	uniprotkb:P14923	physical association	reactome:R-HSA-418976	7806582
uniprotkb:O95267	ChEBI:29108	physical association	reactome:R-HSA-392841	24243840
uniprotkb:P63098	uniprotkb:Q08209	physical association	reactome:R-HSA-2025977	24243840
uniprotkb:P63098	uniprotkb:P48454	physical association	reactome:R-HSA-140202	24243840
uniprotkb:P63098	ChEBI:29108	physical association	reactome:R-HSA-2025950	24243840
uniprotkb:P63098	uniprotkb:P0DP23	physical association	reactome:R-HSA-2025947	11015619|18296442
ChEBI:29034	uniprotkb:O95644	physical association	reactome:R-HSA-2025899	10860980|9727000|10860980|9727000|10860980|9727000|10860980|9727000|10860980|9727000|8631904|8631904|8576111|8576111|10860980|10860980|8799126|8799126|9727000|9727000
uniprotkb:Q14324	uniprotkb:P10916	physical association	reactome:R-HSA-390592	10747208|10747208
uniprotkb:P63316	uniprotkb:P19429	physical association	reactome:R-HSA-390585	24243840
ChEBI:29108	uniprotkb:Q05682	physical association	reactome:R-HSA-445808	24243840
ChEBI:29108	uniprotkb:P04632	physical association	reactome:R-HSA-3288241	24243840
uniprotkb:P07384	uniprotkb:P04632	physical association	reactome:R-HSA-8863625	24243840
uniprotkb:P20810	ChEBI:29108	physical association	reactome:R-HSA-8868137	19020623|7698360|7698360|7698360
uniprotkb:P07384	uniprotkb:P04632	physical association	reactome:R-HSA-3828035	24243840
uniprotkb:Q96L46	uniprotkb:P17655	physical association	reactome:R-HSA-8863624	24243840
uniprotkb:P17655	ChEBI:29108	physical association	reactome:R-HSA-8863404	24243840
uniprotkb:P0DP23	uniprotkb:Q8VBY2	physical association	reactome:R-NUL-9619245	20133723
uniprotkb:Q8VBY2	uniprotkb:P0DP23	physical association	reactome:R-NUL-9618915	20133723|20133723
uniprotkb:P52298	uniprotkb:Q09161	physical association	reactome:R-HSA-162460	20023408|14636577|16284618|14742663|15546618|18974281|21145460|19859661|20930030|12417715|14527413|12554878|12832468|19060897|11333016
uniprotkb:Q09161	uniprotkb:P52298	physical association	reactome:R-HSA-77088	10866664|7853496|20159561|10866664|7853496|11014198|15120988|17499042|15989964|28297668|18157150
reactome:R-ALL-9822746	uniprotkb:P04275	physical association	reactome:R-HSA-9822744	21655675|32588878|21576702|34144500
reactome:R-ALL-110756	uniprotkb:Q09161	physical association	reactome:R-HSA-110758	24243840
uniprotkb:Q8WTR7	uniprotkb:Q09161	physical association	reactome:R-HSA-112045	24243840
uniprotkb:Q14493	uniprotkb:Q09161	physical association	reactome:R-HSA-110759	9049306
uniprotkb:Q8WTR7	uniprotkb:Q14493	physical association	reactome:R-HSA-110766	24243840
reactome:R-ALL-29428	ChEBI:58115	physical association	reactome:R-HSA-77065	9512541
reactome:R-ALL-111344	reactome:R-ALL-29428	physical association	reactome:R-HSA-77066	9512541
reactome:R-ALL-111341	reactome:R-ALL-29428	physical association	reactome:R-HSA-77064	9512541
reactome:R-ALL-72084	reactome:R-ALL-29428	physical association	reactome:R-HSA-77063	22982363|19729311|19941815|24354960
reactome:R-ALL-111345	reactome:R-ALL-29428	physical association	reactome:R-HSA-77067	9512541
uniprotkb:Q00610	uniprotkb:P09496	physical association	reactome:R-HSA-350825	11994746|10394364
uniprotkb:P19784	uniprotkb:P67870	physical association	reactome:R-HSA-201711	24243840
uniprotkb:P67870	uniprotkb:P68400	physical association	reactome:R-HSA-6805066	24243840
uniprotkb:O76075	uniprotkb:O00273	physical association	reactome:R-HSA-211208	9108473
uniprotkb:Q8NEC5	uniprotkb:Q9H7T0	physical association	reactome:R-HSA-2534382	24243840
uniprotkb:P35613	uniprotkb:Q03135	physical association	reactome:R-HSA-204550	14707126
uniprotkb:Q12834	uniprotkb:P06493	physical association	reactome:R-HSA-174095	11285280
uniprotkb:Q13257	uniprotkb:P06493	physical association	reactome:R-HSA-174140	11285280|10679238
uniprotkb:P33993	uniprotkb:Q9HAW4	physical association	reactome:R-HSA-176182	15707391
reactome:R-HSA-68379	uniprotkb:Q9HAW4	physical association	reactome:R-HSA-176229	15226314
uniprotkb:P08154	uniprotkb:Q15742	physical association	reactome:R-NUL-9616359	11331872
reactome:R-ALL-983438	uniprotkb:P01024	physical association	reactome:R-HSA-981542	268620
uniprotkb:P01024	reactome:R-ALL-983438	physical association	reactome:R-HSA-8852839	24243840
reactome:R-ALL-983438	uniprotkb:P01024	physical association	reactome:R-HSA-173749	15068800|15068800|279011|3052276
reactome:R-ALL-983438	uniprotkb:P27918	physical association	reactome:R-HSA-173752	23901101|23901101|23901101|978134|3421908|6707020
uniprotkb:P01024	uniprotkb:P00751	physical association	reactome:R-HSA-173737	21205667|21205667|279011|3052276
uniprotkb:P01024	uniprotkb:Q9BXR6	physical association	reactome:R-HSA-8851427	23487775
uniprotkb:P0C0L4	reactome:R-ALL-983438	physical association	reactome:R-HSA-981716	978134|6906228|8538770|7391573
uniprotkb:P0C0L5	uniprotkb:P06681	physical association	reactome:R-HSA-166784	978134|6906228|6019133
uniprotkb:P08603	uniprotkb:P00751	physical association	reactome:R-HSA-977373	1067618|301546
uniprotkb:P01024	uniprotkb:P08603	physical association	reactome:R-HSA-977596	21317894|19503104|21317894|19503104|1067618|1067618|1067618|1067618
uniprotkb:P01024	uniprotkb:P08603	physical association	reactome:R-HSA-8852843	21317894|19503104
uniprotkb:A1L190	uniprotkb:Q8N0S2	physical association	reactome:R-HSA-912489	22870393
uniprotkb:Q02241	uniprotkb:Q9H0H5	physical association	reactome:R-HSA-984587	1406973|11782313
reactome:R-ALL-1638792	uniprotkb:Q9NTI5	physical association	reactome:R-HSA-2473148	24243840
uniprotkb:P49450	uniprotkb:P62805	physical association	reactome:R-HSA-606295	10840064
uniprotkb:O14965	uniprotkb:Q96IF1	physical association	reactome:R-HSA-2574836	13678582
uniprotkb:Q9ULW0	uniprotkb:O14965	physical association	reactome:R-HSA-8853414	14580337|14580337|14580337|14580337|15498487|15705883|25532896|14580337
uniprotkb:O14965	uniprotkb:O75330	physical association	reactome:R-HSA-8853422	14580337|14580337|14580337|22094468|14580337|21347367
uniprotkb:O14965	uniprotkb:P53350	physical association	reactome:R-HSA-3000313	18566290|16890155
uniprotkb:P06730	reactome:R-HSA-156798	physical association	reactome:R-HSA-156809	24243840
uniprotkb:P62805	reactome:R-ALL-29428	physical association	reactome:R-HSA-3211683	18485871
uniprotkb:P84243	uniprotkb:Q13185	physical association	reactome:R-HSA-427344	22684280
uniprotkb:P84243	uniprotkb:Q9UBB5	physical association	reactome:R-HSA-427343	14610093|14610093|10471499|14610093
uniprotkb:P84243	reactome:R-ALL-29428	physical association	reactome:R-HSA-5226874	24243840
ChEBI:16991	uniprotkb:P84243	physical association	reactome:R-HSA-977584	24243840
uniprotkb:P62805	reactome:R-ALL-29428	physical association	reactome:R-HSA-3211736	18485871|15469825
uniprotkb:P68431	reactome:R-ALL-212172	physical association	reactome:R-HSA-5334137	24243840
uniprotkb:P68431	uniprotkb:Q6W0C5	physical association	reactome:R-HSA-9817457	24243840
reactome:R-ALL-212172	uniprotkb:P62805	physical association	reactome:R-HSA-9817468	24243840
reactome:R-ALL-5221008	uniprotkb:P84243	physical association	reactome:R-HSA-9817484	24243840
reactome:R-ALL-9817509	uniprotkb:P62805	physical association	reactome:R-HSA-9817527	24243840
reactome:R-ALL-212172	uniprotkb:P62805	physical association	reactome:R-HSA-9822634	24243840
uniprotkb:P62805	reactome:R-HSA-5649637	physical association	reactome:R-HSA-9817514	24243840
uniprotkb:Q8IZA3	uniprotkb:P84243	physical association	reactome:R-HSA-9822188	24243840
uniprotkb:Q71DI3	reactome:R-ALL-212172	physical association	reactome:R-HSA-5226877	17355984
uniprotkb:P62805	reactome:R-ALL-29428	physical association	reactome:R-HSA-3211727	24243840
uniprotkb:P68431	reactome:R-ALL-212017	physical association	reactome:R-HSA-5334149	24243840
uniprotkb:P68431	reactome:R-ALL-212017	physical association	reactome:R-HSA-3211676	24243840
uniprotkb:Q71DI3	reactome:R-ALL-29428	physical association	reactome:R-HSA-3211710	24243840
uniprotkb:Q53HL2	uniprotkb:Q9NQS7	physical association	reactome:R-HSA-377879	24243840
uniprotkb:Q9NQS7	uniprotkb:O15392	physical association	reactome:R-HSA-4655348	24243840
ChEBI:192484	uniprotkb:P02768	physical association	reactome:R-HSA-9794443	1864287|24913236|16602760|22354288|28505497|31323489|3158274
uniprotkb:P30101	uniprotkb:P61769	physical association	reactome:R-HSA-1236922	25083866
uniprotkb:P30101	uniprotkb:P61769	physical association	reactome:R-HSA-8863933	24243840
reactome:R-ALL-9613230	uniprotkb:P15382	physical association	reactome:R-HSA-9613243	15266014|16949586
uniprotkb:Q00610	uniprotkb:P09496	physical association	reactome:R-HSA-350827	11994746|8374173|16155256|17116749|8524399|11994746|8374173|16155256|17116749|8524399|7650016|10480952
uniprotkb:P09496	uniprotkb:Q00610	physical association	reactome:R-HSA-2130407	24243840
uniprotkb:Q00610	uniprotkb:P09496	physical association	reactome:R-HSA-177482	24243840
uniprotkb:P09496	uniprotkb:Q00610	physical association	reactome:R-HSA-2130469	24243840
uniprotkb:P63010	uniprotkb:P04233	physical association	reactome:R-HSA-2130331	15749704|8397411|10480952|9202021
uniprotkb:P53680	uniprotkb:P01909	physical association	reactome:R-HSA-2130309	15749704|8397411|15911768
uniprotkb:Q00610	uniprotkb:Q96CW1	physical association	reactome:R-HSA-8935902	24243840
uniprotkb:O95782	uniprotkb:Q00610	physical association	reactome:R-HSA-177505	10804209|10747093
uniprotkb:P09496	uniprotkb:P63010	physical association	reactome:R-HSA-2130671	8397411|22764087
uniprotkb:Q7Z5K2	uniprotkb:Q9NTI5	physical association	reactome:R-HSA-2467805	11509732|11081627|12194817
reactome:R-ALL-83636	uniprotkb:Q13315	physical association	reactome:R-HSA-913201	16123081|16322221|11292842|9781043|10928988
uniprotkb:P30273	uniprotkb:P43405	physical association	reactome:R-HSA-2454243	7528327|8910399|8071371
reactome:R-ALL-2454186	uniprotkb:P43405	physical association	reactome:R-HSA-2454231	24243840
uniprotkb:O60341	uniprotkb:Q9UKL0	physical association	reactome:R-HSA-4657015	24243840
uniprotkb:Q99426	ChEBI:37565	physical association	reactome:R-HSA-391241	24243840
ChEBI:37565	uniprotkb:Q9BTW9	physical association	reactome:R-HSA-391245	10831612|20740604
uniprotkb:Q15813	ChEBI:37565	physical association	reactome:R-HSA-391242	9265649
uniprotkb:Q29RF7	uniprotkb:Q7Z5K2	physical association	reactome:R-HSA-2468042	17113138|19696148|17112726
reactome:R-ALL-1638792	uniprotkb:Q29RF7	physical association	reactome:R-HSA-2545177	24243840
reactome:R-ALL-1638790	uniprotkb:Q29RF7	physical association	reactome:R-HSA-2545179	24243840
uniprotkb:Q9Y6X3	uniprotkb:Q29RF7	physical association	reactome:R-HSA-2470943	24243840
uniprotkb:Q6KC79	uniprotkb:Q9NTI5	physical association	reactome:R-HSA-2470928	24243840
uniprotkb:P29400	uniprotkb:P53420	physical association	reactome:R-HSA-215984	24243840
uniprotkb:P09486	ChEBI:29108	physical association	reactome:R-HSA-2672066	2364322
uniprotkb:P04275	uniprotkb:P40197	physical association	reactome:R-HSA-9844246	24474090|2052556|23014764|14521605|8384898
uniprotkb:P08123	uniprotkb:P02452	physical association	reactome:R-HSA-2396133	641035|1484505|3595596
uniprotkb:P08123	uniprotkb:P02452	physical association	reactome:R-HSA-2396051	6129847
uniprotkb:P05556	uniprotkb:P02454	physical association	reactome:R-NUL-4084907	11518510|11572855
uniprotkb:P05556	ChEBI:18420	physical association	reactome:R-HSA-215988	11518510|12496264
uniprotkb:P02459	uniprotkb:P56199	physical association	reactome:R-NUL-4084911	11572855
uniprotkb:O75578	uniprotkb:P02463	physical association	reactome:R-NUL-4085068	11572855
uniprotkb:P17301	uniprotkb:P02463	physical association	reactome:R-NUL-4084900	11572855
uniprotkb:Q14050	uniprotkb:Q14055	physical association	reactome:R-HSA-375076	24243840
uniprotkb:P08125	uniprotkb:P05556	physical association	reactome:R-NUL-2545198	12617725
uniprotkb:Q8K4G2	uniprotkb:P05556	physical association	reactome:R-NUL-2473468	21652699
uniprotkb:P12105	uniprotkb:P18828	physical association	reactome:R-NUL-2731116	3159726
uniprotkb:O43920	uniprotkb:Q9GZY4	physical association	reactome:R-HSA-6799192	20552642|24191001
uniprotkb:P47985	reactome:R-ALL-164296	physical association	reactome:R-HSA-164304	24243840
reactome:R-ALL-164586	reactome:R-ALL-164585	physical association	reactome:R-HSA-164584	24243840
uniprotkb:P60033	uniprotkb:P13164	physical association	reactome:R-HSA-198931	24243840
uniprotkb:P15391	uniprotkb:P01024	physical association	reactome:R-HSA-198991	17337780|15778510|14719373
uniprotkb:Q8NEM0	uniprotkb:Q01105	physical association	reactome:R-HSA-2429713	21911480|21515671|18718915
uniprotkb:P29033	uniprotkb:P08034	physical association	reactome:R-HSA-190632	10646523
uniprotkb:Q9UKL4	uniprotkb:P36383	physical association	reactome:R-HSA-375333	24243840
uniprotkb:Q12860	uniprotkb:P78357	physical association	reactome:R-HSA-373655	24243840
uniprotkb:O15234	uniprotkb:Q9Y5S9	physical association	reactome:R-HSA-8849113	16797590|14625303
uniprotkb:O95163	uniprotkb:Q6IA86	physical association	reactome:R-HSA-3318407	24243840
uniprotkb:Q96A72	uniprotkb:O15234	physical association	reactome:R-HSA-927869	16797590|14625303
uniprotkb:Q16623	uniprotkb:P63027	physical association	reactome:R-HSA-387383	24243840
uniprotkb:Q15517	ChEBI:35366	physical association	reactome:R-HSA-6814723	9395522
uniprotkb:P62826	uniprotkb:O14980	physical association	reactome:R-HSA-165538	9837918|17081640|15574331|11932251|11451485|8113738|16608852|11289803|11231581|11124902
uniprotkb:P62826	uniprotkb:O14980	physical association	reactome:R-HSA-165556	24243840
uniprotkb:P41240	uniprotkb:Q9NWQ8	physical association	reactome:R-HSA-202297	12938237|10790433
uniprotkb:Q12996	uniprotkb:Q05048	physical association	reactome:R-HSA-72006	10669729|24149845|10669729|24149845|10371034|10371034|10357856|10357856
uniprotkb:Q12996	reactome:R-ALL-112158	physical association	reactome:R-HSA-112161	24243840
uniprotkb:Q15370	uniprotkb:Q93034	physical association	reactome:R-HSA-180596	24243840
uniprotkb:P17302	uniprotkb:Q07157	physical association	reactome:R-HSA-191652	24243840
uniprotkb:Q07157	uniprotkb:P17302	physical association	reactome:R-HSA-191615	24243840
uniprotkb:P17302	uniprotkb:Q07157	physical association	reactome:R-HSA-191653	11124251
uniprotkb:P17302	uniprotkb:P12931	physical association	reactome:R-HSA-191644	24243840
uniprotkb:P35613	uniprotkb:Q13356	physical association	reactome:R-HSA-204498	15946952
uniprotkb:P24941	uniprotkb:P38936	physical association	reactome:R-HSA-187926	10323868|8242751
uniprotkb:P24941	uniprotkb:P38936	physical association	reactome:R-HSA-187912	11231585|10323868
uniprotkb:Q9UM11	uniprotkb:P24941	physical association	reactome:R-HSA-188374	11340163|22178396|11340163
uniprotkb:Q9UM11	uniprotkb:P24941	physical association	reactome:R-HSA-188387	22178396|10548110|10548110
uniprotkb:P14635	uniprotkb:P06493	physical association	reactome:R-HSA-170048	24243840
uniprotkb:P06493	uniprotkb:P14635	physical association	reactome:R-HSA-75032	24243840
uniprotkb:P24385	uniprotkb:Q00534	physical association	reactome:R-HSA-141296	24243840
uniprotkb:P30279	uniprotkb:P11802	physical association	reactome:R-HSA-141290	24243840
uniprotkb:P30279	uniprotkb:Q00534	physical association	reactome:R-HSA-141289	24243840
uniprotkb:P30281	uniprotkb:P11802	physical association	reactome:R-HSA-141294	24243840
uniprotkb:P30281	uniprotkb:Q00534	physical association	reactome:R-HSA-141284	24243840
uniprotkb:P11802	uniprotkb:P46527	physical association	reactome:R-HSA-141298	24243840
uniprotkb:P38936	uniprotkb:P61024	physical association	reactome:R-HSA-187565	15199159|16209941|11231585|10375532
uniprotkb:P46527	uniprotkb:P24941	physical association	reactome:R-HSA-187516	24243840
uniprotkb:O96020	uniprotkb:P38936	physical association	reactome:R-HSA-187522	10559916|10323868|10375532
uniprotkb:P24941	uniprotkb:P24864	physical association	reactome:R-HSA-8848421	24243840
uniprotkb:P24941	uniprotkb:P38936	physical association	reactome:R-HSA-68376	10323868|8242751|16262255
uniprotkb:P24864	uniprotkb:P24941	physical association	reactome:R-HSA-68377	7743995|11585773
uniprotkb:P24941	uniprotkb:P24864	physical association	reactome:R-HSA-188362	11416152|11032757|9891042|24876129|9190208|9482921|10207050|9447971|10499802|7629134
uniprotkb:P62937	reactome:R-ALL-9660996	physical association	reactome:R-HSA-2026008	12218175
uniprotkb:Q9NT62	uniprotkb:O95352	physical association	reactome:R-HSA-9820424	22170151
uniprotkb:P25325	uniprotkb:Q99757	physical association	reactome:R-HSA-9035480	24800864|23698001|16195549|26626369
ChEBI:60344	uniprotkb:P13498	physical association	reactome:R-HSA-1222510	24243840
ChEBI:57692	uniprotkb:P13498	physical association	reactome:R-HSA-5218783	24243840
ChEBI:38574	uniprotkb:P99999	physical association	reactome:R-HSA-352607	11340051|16760263|23746447|22902835|15223|7979252|17298220|21958598
uniprotkb:P99999	ChEBI:38573	physical association	reactome:R-HSA-352609	23455484|15317809|60|6286671|11139407|10982|239860|186667
uniprotkb:P14920	ChEBI:57692	physical association	reactome:R-HSA-389816	24243840
uniprotkb:P01130	uniprotkb:Q5SW96	physical association	reactome:R-HSA-8869194	24243840
uniprotkb:P01130	uniprotkb:P98082	physical association	reactome:R-HSA-8862887	15728179|12221107|1968060|20231386|12451172|12944396|11247302|12234931
ChEBI:17815	uniprotkb:Q9Y210	physical association	reactome:R-HSA-426179	11805119|9930701
ChEBI:17815	uniprotkb:P17252	physical association	reactome:R-HSA-5223297	22986494|16861033
ChEBI:29108	uniprotkb:Q05513	physical association	reactome:R-HSA-5218773	16861033
uniprotkb:Q04759	uniprotkb:Q9BXL7	physical association	reactome:R-HSA-2685688	11090634
uniprotkb:O95999	uniprotkb:Q04759	physical association	reactome:R-HSA-2685671	21966355|16831874
uniprotkb:Q9Y4K3	ChEBI:18035	physical association	reactome:R-HSA-2685682	18772140|17948050
uniprotkb:Q04759	uniprotkb:Q9BXL7	physical association	reactome:R-HSA-2685713	15125833
ChEBI:18035	uniprotkb:O95999	physical association	reactome:R-HSA-2685691	17135271
uniprotkb:Q15750	uniprotkb:O95999	physical association	reactome:R-HSA-2685689	10882101|17158449|15327770
uniprotkb:Q15750	uniprotkb:Q9BXL7	physical association	reactome:R-HSA-2685709	10838074|17496917|16186825|10702308
uniprotkb:Q9BXL7	uniprotkb:Q04759	physical association	reactome:R-HSA-2685699	17428801
uniprotkb:Q04759	uniprotkb:Q9BXL7	physical association	reactome:R-HSA-2685711	16356856|16356853|20685844
ChEBI:18035	uniprotkb:Q05655	physical association	reactome:R-HSA-5607689	19934406|15105418
uniprotkb:Q02156	ChEBI:18035	physical association	reactome:R-HSA-8934445	24243840
uniprotkb:Q05655	ChEBI:18035	physical association	reactome:R-HSA-5607700	15105418|7499357|12473183
uniprotkb:P14920	ChEBI:57692	physical association	reactome:R-HSA-389849	24243840
uniprotkb:P43405	uniprotkb:P61769	physical association	reactome:R-HSA-2395411	9396765|9830044
uniprotkb:P42336	uniprotkb:P26718	physical association	reactome:R-HSA-2424456	15536084|11907067
uniprotkb:O43914	uniprotkb:Q9NY25	physical association	reactome:R-HSA-210234	15884055|10449773
uniprotkb:Q9NP99	uniprotkb:O43914	physical association	reactome:R-HSA-210248	17110943|15884055|12776204
uniprotkb:O43914	uniprotkb:Q9NZC2	physical association	reactome:R-HSA-210245	11602640
uniprotkb:P13747	uniprotkb:O43914	physical association	reactome:R-HSA-2395430	24243840
uniprotkb:P13747	uniprotkb:P43405	physical association	reactome:R-HSA-210250	9490415|9396765|18691974
uniprotkb:O43914	uniprotkb:P06239	physical association	reactome:R-HSA-2395423	24243840
uniprotkb:O43914	uniprotkb:P61769	physical association	reactome:R-HSA-2272727	20093094
uniprotkb:P26718	uniprotkb:O43914	physical association	reactome:R-HSA-210232	24243840
uniprotkb:O43914	uniprotkb:O95944	physical association	reactome:R-HSA-210241	10049942|14707061|9625766
uniprotkb:P10145	uniprotkb:Q16570	physical association	reactome:R-HSA-374123	8248172|12956774
uniprotkb:Q9UER7	uniprotkb:Q00987	physical association	reactome:R-HSA-3222079	16845383|16845383
uniprotkb:P09172	ChEBI:18315	physical association	reactome:R-HSA-209957	24243840
ChEBI:33184	uniprotkb:P07108	physical association	reactome:R-HSA-8848291	17953517|24080521
reactome:R-ALL-9010792	uniprotkb:Q15119	physical association	reactome:R-HSA-9011531	17544412|19833728
uniprotkb:Q9HD67	uniprotkb:P43146	physical association	reactome:R-HSA-593674	24243840
uniprotkb:Q9UKG1	uniprotkb:P43146	physical association	reactome:R-HSA-373668	12011067|11248093
uniprotkb:Q9UKG1	uniprotkb:P55211	physical association	reactome:R-HSA-373664	12011067|11248093
uniprotkb:O95631	uniprotkb:P43146	physical association	reactome:R-HSA-373667	11239160|9950216
uniprotkb:P43146	uniprotkb:O95185	physical association	reactome:R-HSA-373654	24243840
uniprotkb:P43146	uniprotkb:O95631	physical association	reactome:R-HSA-418818	24243840
uniprotkb:P43146	uniprotkb:O95185	physical association	reactome:R-HSA-418827	24243840
uniprotkb:O95185	uniprotkb:Q06124	physical association	reactome:R-HSA-418825	24243840
uniprotkb:P43146	uniprotkb:O75094	physical association	reactome:R-HSA-373666	24243840
uniprotkb:P43146	ChEBI:58456	physical association	reactome:R-HSA-374565	16762451
uniprotkb:P81605	ChEBI:29105	physical association	reactome:R-HSA-6803120	24243840
uniprotkb:P81605	ChEBI:62643	physical association	reactome:R-HSA-6803105	23426625|22262861|23426625|22262861|23426625|22262861|23426625|23426625|22262861|22262861|25596890|25596890
uniprotkb:P81605	reactome:R-ALL-8879165	physical association	reactome:R-HSA-6803024	20510021|23426625
uniprotkb:P81605	reactome:R-ALL-8879165	physical association	reactome:R-HSA-6803066	20510021|23426625|11694882|20510021|23426625|11694882|20510021|23426625|11694882|20510021|23426625|11694882|20510021|20510021|20510021|23426625|23426625|23426625|22262861|22262861|22262861|22455996|22455996|22455996
uniprotkb:P27707	ChEBI:18420	physical association	reactome:R-HSA-73516	2844225|12808445|2539852
uniprotkb:Q9H295	uniprotkb:O43889	physical association	reactome:R-HSA-8874383	18952287|20546900
uniprotkb:P40126	ChEBI:29105	physical association	reactome:R-HSA-5662858	24243840
uniprotkb:Q9H773	ChEBI:18420	physical association	reactome:R-HSA-6786258	24243840
uniprotkb:Q9H773	ChEBI:18420	physical association	reactome:R-HSA-6786262	24243840
uniprotkb:Q16531	uniprotkb:Q92466	physical association	reactome:R-HSA-5688955	19109893
uniprotkb:Q16531	uniprotkb:Q92466	physical association	reactome:R-HSA-5696680	19109893
uniprotkb:O94830	uniprotkb:Q8NEL9	physical association	reactome:R-HSA-6786649	24243840
uniprotkb:O00311	uniprotkb:Q9UBU7	physical association	reactome:R-HSA-68388	10373557|10523313
uniprotkb:Q99489	ChEBI:57692	physical association	reactome:R-HSA-6810064	20603179
uniprotkb:O00148	ChEBI:456216	physical association	reactome:R-HSA-8849115	20844015|20844015|20844015|20844015|20844015|20844015|20844015|20844015|20844015|20844015|20844015|20844015|20844015|10323864|9660949|10489353|23826332|11073998|10228171|23299939|22893130|17000901|18364396|18411249|11739738|20129943
uniprotkb:Q13838	ChEBI:30616	physical association	reactome:R-HSA-8849161	20844015|18411249
reactome:R-VVI-9013755	uniprotkb:Q9UJV9	physical association	reactome:R-HSA-3134844	21892174|23142775|21892174|23142775|21892174|23142775|21892174|21892174|23222971|23222971|23142775|23142775
ChEBI:49537	uniprotkb:Q9UJV9	physical association	reactome:R-HSA-9013866	23142775|23142775|23222971|23142775
uniprotkb:P0DTC9	uniprotkb:O95786	physical association	reactome:R-HSA-9717677	33396605|33396605|33801464|33396605
uniprotkb:P04543	uniprotkb:O95786	physical association	reactome:R-HSA-9717522	19193793|19193793|33649232|19193793
uniprotkb:Q6PHW0	ChEBI:58210	physical association	reactome:R-HSA-209777	24243840
uniprotkb:P05549	uniprotkb:P35659	physical association	reactome:R-HSA-8869593	12595566|12595566
uniprotkb:P35659	reactome:R-HSA-8869591	physical association	reactome:R-HSA-8869574	12595566|12595566
uniprotkb:Q14154	uniprotkb:Q9BQI3	physical association	reactome:R-HSA-9840385	32132707|32132706|37550454|32132707|32132706|37550454|32132707|32132706|37550454|32132707|32132706|37550454|32132707|32132707|32132707|32132706|32132706|32132706|35163244|35163244|35163244|37550454|37550454|37550454
uniprotkb:P07305	reactome:R-ALL-211242	physical association	reactome:R-HSA-211254	10713148|18283539
reactome:R-ALL-29428	uniprotkb:O76075	physical association	reactome:R-HSA-211253	15910001|10318789
uniprotkb:Q14974	uniprotkb:O76075	physical association	reactome:R-HSA-350304	17938174
uniprotkb:O00273	uniprotkb:P52294	physical association	reactome:R-HSA-350287	17938174
uniprotkb:O76075	uniprotkb:O00273	physical association	reactome:R-HSA-211192	9108473
uniprotkb:O76075	uniprotkb:O00273	physical association	reactome:R-HSA-211225	17938174
uniprotkb:Q96E22	uniprotkb:Q86SQ9	physical association	reactome:R-HSA-9631761	24243840
uniprotkb:Q86SQ9	uniprotkb:Q96E22	physical association	reactome:R-HSA-6806947	24243840
ChEBI:58210	uniprotkb:Q02127	physical association	reactome:R-HSA-73534	10889450|9693067|165196|6105839
reactome:R-ALL-9708787	ChEBI:58210	physical association	reactome:R-HSA-9708760	21157651|32735689|32754890|8573583|32696396|11053058|32494856
ChEBI:18420	uniprotkb:Q96HY7	physical association	reactome:R-HSA-9858579	24243840
ChEBI:18420	uniprotkb:Q96HY7	physical association	reactome:R-HSA-9858584	32695416
uniprotkb:Q9H2U1	reactome:R-ALL-3134861	physical association	reactome:R-HSA-3134858	20696886|20696886
reactome:R-ALL-3134861	uniprotkb:Q99836	physical association	reactome:R-HSA-3134859	20696886
uniprotkb:Q08211	reactome:R-ALL-3134861	physical association	reactome:R-HSA-3134960	20696886|20696886
uniprotkb:Q08211	uniprotkb:Q99836	physical association	reactome:R-HSA-3134868	20696886
uniprotkb:P98170	uniprotkb:Q9NR28	physical association	reactome:R-HSA-9627391	10972280|10972280|10972280|10972280|10972280|10972280|10972280|10929711|11140638|11257231|11242052|10972280|11257231|12874265
uniprotkb:P98170	uniprotkb:Q9NR28	physical association	reactome:R-HSA-114305	11257231|9230442|14960576
uniprotkb:P98170	uniprotkb:Q9NR28	physical association	reactome:R-HSA-114353	11257231|9230442|14960576|18619610
uniprotkb:Q8IYB7	uniprotkb:Q86U42	physical association	reactome:R-HSA-9820886	24243840
uniprotkb:Q14790	uniprotkb:P50591	physical association	reactome:R-HSA-3465431	19278658|19416807|21235526|20696707|10837247|15024054
